Date,USD/BGN,USD/HUF,USD/EUR
6/10/2019,1.7164,282.670013,0.88338
6/11/2019,1.7184,282.532013,0.88354
6/12/2019,1.7164,283.303986,0.88265
6/13/2019,1.7219,285.059998,0.8853
6/14/2019,1.7241,285.290009,0.88649
6/17/2019,1.7339,287.220001,0.8915
6/18/2019,1.7362,286.899994,0.8909
6/19/2019,1.7369,288.459991,0.893
6/20/2019,1.7304,287.75,0.8898
6/21/2019,1.7216,285.869995,0.8853
6/24/2019,1.7135,284.600006,0.87837
6/25/2019,1.7059,283.670013,0.87717
6/26/2019,1.7106,284.18399,0.87951
6/27/2019,1.7096,284.160004,0.87914
6/28/2019,1.71,284.420013,0.87928
7/1/2019,1.7106,284.154999,0.8799
7/2/2019,1.7261,286.187012,0.88594
7/3/2019,1.7232,285.73999,0.8855
7/4/2019,1.7228,285.429993,0.8859
7/5/2019,1.723,285.970001,0.88607
7/8/2019,1.7324,288.459991,0.89068
7/9/2019,1.7373,289.480011,0.89158
7/10/2019,1.7388,290.339996,0.8922
7/11/2019,1.7307,289.119995,0.88819
7/12/2019,1.7278,289.579987,0.8887
7/15/2019,1.7287,288.596008,0.88715
7/16/2019,1.7301,288.75,0.88796
7/17/2019,1.7345,290.640015,0.89188
7/18/2019,1.732,290.670013,0.8905
7/19/2019,1.7273,289.160004,0.88798
7/22/2019,1.7345,289.766998,0.8914
7/23/2019,1.7353,290.100006,0.89237
7/24/2019,1.7474,292,0.89676
7/25/2019,1.7454,291.880005,0.89747
7/26/2019,1.7446,292.600006,0.89717
7/29/2019,1.7479,293.480011,0.8983
7/30/2019,1.7453,293.970001,0.89742
7/31/2019,1.7432,293.253998,0.89622
8/1/2019,1.757,294.329987,0.9032
8/2/2019,1.7554,295.26001,0.90262
8/5/2019,1.7512,294.348999,0.90025
8/6/2019,1.73,290.709991,0.88938
8/7/2019,1.7356,289.772003,0.8923
8/8/2019,1.7358,290.774994,0.89251
8/9/2019,1.7417,289.528015,0.89388
8/12/2019,1.7361,289.431,0.89218
8/13/2019,1.7373,288.987,0.8914
8/14/2019,1.7435,289.306,0.89469
8/15/2019,1.7483,292,0.8974
8/16/2019,1.7503,292.799988,0.8998
8/19/2019,1.7535,292.459991,0.9014
8/20/2019,1.7551,294.459991,0.90227
8/21/2019,1.7522,294.820007,0.90108
8/22/2019,1.7534,294.980011,0.90165
8/23/2019,1.7546,295.859985,0.9022
8/26/2019,1.7447,295.191986,0.89742
8/27/2019,1.7518,296.390015,0.9006
8/28/2019,1.7536,296.970001,0.90171
8/29/2019,1.7548,297.536987,0.90205
8/30/2019,1.7583,299.450012,0.904
9/2/2019,1.7693,301.269989,0.90977
9/3/2019,1.7769,302.002991,0.9117
9/4/2019,1.7727,300.48999,0.9112
9/5/2019,1.7625,298.380005,0.90621
9/6/2019,1.7628,298.720001,0.9061
9/9/2019,1.7479,299.209991,0.90739
9/10/2019,1.7604,298.593994,0.90511
9/11/2019,1.7601,300,0.90495
9/12/2019,1.7661,301.420013,0.90798
9/13/2019,1.7587,300.649994,0.9043
9/16/2019,1.7556,298.850006,0.90225
9/17/2019,1.7706,301.630005,0.9086
9/18/2019,1.7563,301.140015,0.90296
9/19/2019,1.7634,301.623993,0.9065
9/20/2019,1.7606,300.670013,0.9051
9/23/2019,1.7651,302.859985,0.90752
9/24/2019,1.7723,304.619995,0.90961
9/25/2019,1.7686,302.700012,0.9077
9/26/2019,1.7789,305.039001,0.913
9/27/2019,1.7836,306.946014,0.91552
9/30/2019,1.7784,306.419006,0.91385
10/1/2019,1.7872,307.100006,0.91746
10/2/2019,1.7796,306.779999,0.9145
10/3/2019,1.7745,304.46701,0.9121
10/4/2019,1.7723,302.421997,0.91113
10/7/2019,1.7743,302.480011,0.9102
10/8/2019,1.7726,303.556,0.9114
10/9/2019,1.7748,304.51001,0.9124
10/10/2019,1.7699,303.899994,0.9101
10/11/2019,1.7698,301.429993,0.90818
10/14/2019,1.763299,300.950012,0.906618
10/15/2019,1.766695,300.516998,0.9067
10/16/2019,1.765804,300.779999,0.90623
10/17/2019,1.7561,300.230011,0.90294
10/18/2019,1.751292,297.570007,0.8987
10/21/2019,1.7422,296.186005,0.8964
10/22/2019,1.747334,295.743988,0.89672
10/23/2019,1.750168,295.42099,0.89853
10/24/2019,1.750011,294.540009,0.89828
10/25/2019,1.7515,296.359985,0.90058
10/28/2019,1.7552,296.200012,0.90218
10/29/2019,1.7523,295.487,0.90097
10/30/2019,1.753257,296.570007,0.8997
10/31/2019,1.746918,295.190002,0.8965
11/1/2019,1.7433,294.328003,0.89629
11/4/2019,1.743679,293.531006,0.89553
11/5/2019,1.7477,295.684998,0.89859
11/6/2019,1.759468,298.829987,0.903
11/7/2019,1.760128,299.660004,0.90331
11/8/2019,null,300.73999,0.907466
11/11/2019,1.76817,302.549988,0.90724
11/12/2019,1.763,302.570007,0.90617
11/13/2019,1.7661,303.839996,0.90807
11/14/2019,1.7667,303.130005,0.908
11/15/2019,1.76451,303.007996,0.9074
11/18/2019,1.760708,302.618011,0.90456
11/19/2019,1.7565,302.786987,0.90315
11/20/2019,1.7556,300.190002,0.902527
11/21/2019,1.7555,300.869995,0.90262
11/22/2019,1.7582,302.160004,0.90368
11/25/2019,1.7644,302.98999,0.90723
11/26/2019,1.7659,304.79599,0.9079
11/27/2019,1.7643,304.649994,0.90723
11/28/2019,1.7671,305.303986,0.90869
11/29/2019,1.7663,305.029999,0.90812
12/2/2019,1.76537,303.497986,0.90752
12/3/2019,1.757229,299.700012,0.9026
12/4/2019,1.756047,298.992004,0.9021
12/5/2019,1.7555,298.540009,0.90228
12/6/2019,1.7512,297.70401,0.90046
12/9/2019,1.75615,298.931,0.90425
12/10/2019,1.75269,299.600006,0.903751
12/11/2019,1.7533,298.140015,0.90149
12/12/2019,1.7465,296.429993,0.898
12/13/2019,1.74306,294.390015,0.89397
12/16/2019,1.74935,295.819,0.89892
12/17/2019,1.74591,294.98999,0.89791
12/18/2019,1.744,295.929993,0.89675
12/19/2019,1.7496,297.390015,0.89961
12/20/2019,1.75137,296.859985,0.8988
12/23/2019,1.7556,298.084015,0.90254
12/24/2019,1.7566,298.600006,0.9014
12/25/2019,1.75441,299.200012,0.9017
12/26/2019,1.75603,299.160004,0.90127
12/27/2019,1.755355,298.48999,0.90081
12/30/2019,1.7405,295.713989,0.89427
12/31/2019,1.7359,295.350006,0.892674
1/1/2020,1.73427,295.040009,0.8912
1/2/2020,1.73477,294.799988,0.8912
