Year,Bulgaria,Germany,Hungary,Euro area,European Union
2000,10.31626213,1.440268387,9.803610169,2.9475656,3.15076707
2001,7.360939272,1.983857313,9.116809117,2.857328935,3.373968322
2002,5.810143657,1.420806156,5.265448216,2.326906836,2.424436612
2003,2.348641696,1.034222186,4.661016949,2.095235291,2.09199839
2004,6.147130742,1.665736967,6.744346796,2.216207889,2.286217068
2005,5.038838071,1.546911148,3.561517114,2.523928987,2.487696652
2006,7.261594628,1.577426428,3.930326038,2.720047505,2.666314946
2007,8.40253419,2.298344007,7.958745165,2.482315467,2.510665652
2008,12.3487196,2.628379816,6.042512539,4.11407022,4.164971935
2009,2.753202239,0.312739007,4.211711712,0.437175413,0.839262247
2010,2.438990605,1.103810378,4.855557957,1.520575579,1.531122704
2011,4.219903466,2.075172837,3.929920989,3.288014272,3.289449396
2012,2.954568298,2.008488848,5.652145171,2.541544741,2.662841655
2013,0.890093541,1.504723303,1.73319985,1.310233556,1.219993423
2014,-1.418183803,0.906794,-0.227566271,0.220195628,0.199343827
2015,-0.104633261,0.514426137,-0.06164468,-0.08520723,-0.06164468
2016,-0.798649886,0.491747008,0.394769307,0.166009884,0.183334861
2017,2.061596194,1.509494851,2.348242812,1.375036415,1.429107433
2018,2.814544738,1.732168798,2.850247926,1.689239658,1.73860862
2019,3.103729448,1.445659769,3.338586354,1.441239669,1.630522608
2020,1.672440969,0.144877926,3.326743858,0.18693814,0.476498853
2021,3.297744353,3.066666667,5.110965344,2.486504381,2.554506996
2022,15.32525893,6.872574386,14.60814395,8.471176456,8.833698867
2023,,,,,
